epoch,time,memory,val_loss,jaccard,f1,train_loss
1,2.760072946548462,0,2.898712158203125,0.01113467663526535,1.0,3.1084114142826627
2,3.4464778900146484,0,2.8898963928222656,4.359518117596356e-13,1.0,2.9761553491864885
3,4.129280090332031,0,2.948124885559082,0.004212666768580675,1.0,2.8966780390058244
4,4.796716690063477,0,2.820646047592163,0.002132076071575284,1.0,2.8329724924904958
5,5.465142726898193,0,2.802987813949585,0.0026762401685118675,1.0,2.791750465120588
6,6.136707782745361,0,2.7348663806915283,0.0029605363961309195,1.0,2.7588435241154263
7,6.800250768661499,0,2.772935628890991,0.02418120577931404,1.0,2.693023306982858
8,7.4637439250946045,0,2.6676690578460693,0.07948904484510422,1.0,2.6856587614331926
9,8.138518810272217,0,2.660940170288086,0.08465956151485443,1.0,2.6324524538857594
10,8.805570840835571,0,2.606113910675049,0.11722467839717865,1.0,2.591588463102068
11,9.469238758087158,0,2.749384880065918,0.055686138570308685,1.0,2.556943552834647
12,10.139588832855225,0,2.654876947402954,0.08685816824436188,1.0,2.5212909834725514
13,10.812718868255615,0,2.5543792247772217,0.16206902265548706,1.0,2.5026442664010182
14,11.473728656768799,0,2.5636746883392334,0.12248260527849197,1.0,2.47523409979684
15,12.148640871047974,0,2.4910459518432617,0.1366633027791977,1.0,2.4517321246010915
16,12.852086782455444,0,2.503905773162842,0.10481870919466019,1.0,2.4194815840039934
17,13.516376733779907,0,2.430593490600586,0.2475997507572174,1.0,2.3984029974256242
18,14.18619704246521,0,2.5131938457489014,0.10912980139255524,1.0,2.3644632611955916
19,14.860229969024658,0,2.3957266807556152,0.1839440017938614,1.0,2.3593738760266985
20,15.52961277961731,0,2.33113956451416,0.11814624071121216,1.0,2.337613276072911
21,16.18882179260254,0,2.4408514499664307,0.08163555711507797,1.0,2.3115600177219937
22,16.855287790298462,0,2.495875835418701,0.08180930465459824,1.0,2.3119422367640903
23,17.519804000854492,0,2.4271905422210693,0.0810166597366333,1.0,2.2913838795253207
24,18.181461811065674,0,2.5378594398498535,0.044895969331264496,1.0,2.2624377523149763
25,18.852437019348145,0,2.182232141494751,0.1855924278497696,1.0,2.2436864716666087
26,19.51422381401062,0,2.42484450340271,0.07848555594682693,1.0,2.246173688343593
27,20.17469596862793,0,2.4475879669189453,0.07129281759262085,1.0,2.2259587900979176
28,20.842164039611816,0,2.2453160285949707,0.10167084634304047,1.0,2.1992385387420654
29,21.501368761062622,0,2.3286426067352295,0.07524528354406357,1.0,2.194867883409773
30,22.16535472869873,0,2.299051284790039,0.07836801558732986,1.0,2.1857712950025285
31,22.83848786354065,0,2.5264666080474854,0.020540207624435425,1.0,2.1762961660112654
32,23.501057863235474,0,2.3461198806762695,0.0793655514717102,1.0,2.1842892169952393
33,24.17143201828003,0,2.2360153198242188,0.1729152351617813,1.0,2.171488182885306
34,24.831472873687744,0,2.139050006866455,0.17976178228855133,1.0,2.139417443956648
35,25.496177911758423,0,2.1665687561035156,0.1032140851020813,1.0,2.111105135508946
36,26.16038680076599,0,2.2676358222961426,0.08269565552473068,1.0,2.11337525503976
37,26.83135175704956,0,2.3194520473480225,0.13471387326717377,1.0,2.106384345463344
38,27.498235940933228,0,2.2746856212615967,0.1029023677110672,1.0,2.074953249522618
39,28.16159701347351,0,2.261683702468872,0.13279308378696442,1.0,2.0783748967306956
40,28.825593948364258,0,2.173082113265991,0.24595698714256287,1.0,2.0519731044769287
41,29.51258397102356,0,2.0735840797424316,0.16314946115016937,1.0,2.0271753753934587
42,30.220439910888672,0,2.2212274074554443,0.19630131125450134,1.0,2.0150520460946217
43,30.91126298904419,0,2.198092460632324,0.13792116940021515,1.0,2.0151854242597307
44,31.647538900375366,0,2.127671957015991,0.1755688488483429,1.0,1.998189994267055
45,32.42996311187744,0,2.159925937652588,0.16350996494293213,1.0,1.9928032330104284
46,33.2209370136261,0,2.029109239578247,0.19119510054588318,1.0,1.9788211754390173
47,34.03564500808716,0,2.0075485706329346,0.1819593757390976,1.0,1.9753835030964442
48,34.89218091964722,0,2.0724780559539795,0.17053985595703125,1.0,1.943830864770072
49,35.82916593551636,0,2.0674452781677246,0.18281987309455872,1.0,1.9212113789149694
50,36.579187870025635,0,2.058461904525757,0.24879512190818787,1.0,1.9166666780199324
51,37.48583984375,0,2.1765668392181396,0.15383879840373993,1.0,1.9083091701780046
52,38.25979781150818,0,2.3715503215789795,0.15012586116790771,1.0,1.8842233760016305
53,39.04449987411499,0,2.0211379528045654,0.1913120597600937,1.0,1.8804604325975691
54,39.749069929122925,0,1.9638681411743164,0.16496430337429047,1.0,1.863088744027274
